Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:19:26.088,COM4, 2000-00-00 01:19:51.700, 0.148, 0.808, 0.393, -11.719, -0.977, 6.470, 72.631, -1.840, 136.412, 50.666, -62.916, 39.788, 31.86,,,,,,,,,,,,,,,,
 17:19:26.092,COM4, 2000-00-00 01:19:51.750, 0.125, 0.807, 0.220, 4.883, 24.170, -7.935, 72.356, -1.527, 137.115, 50.568, -62.916, 39.886, 31.90,,,,,,,,,,,,,,,,
 17:19:26.170,COM4, 2000-00-00 01:19:51.800, -0.075, 0.936, 0.184, 17.395, 35.706, -8.911, 72.933, -0.775, 138.439, 50.568, -62.720, 40.474, 31.82,,,,,,,,,,,,,,,,
 17:19:26.172,COM4, 2000-00-00 01:19:51.850, -0.112, 1.035, 0.160, 8.789, 30.579, -15.625, 73.707, 0.137, 139.867, 50.764, -62.524, 41.454, 31.87,,,,,,,,,,,,,,,,
 17:19:26.294,COM4, 2000-00-00 01:19:51.900, -0.127, 1.100, 0.279, -1.099, 16.235, -24.658, 73.938, 1.379, 140.504, 51.254, -62.132, 41.846, 31.87,,,,,,,,,,,,,,,,
 17:19:26.373,COM4, 2000-00-00 01:19:51.950, 0.002, 0.865, 0.347, -0.610, -1.404, -9.949, 73.768, 2.351, 140.317, 51.646, -61.838, 42.042, 31.87,,,,,,,,,,,,,,,,
 17:19:26.385,COM4, 2000-00-00 01:19:52.000, -0.107, 0.833, 0.447, -0.488, 5.127, 0.183, 73.740, 2.560, 140.383, 52.038, -61.642, 42.042, 31.84,,,,,,,,,,,,,,,,
 17:19:26.389,COM4, 2000-00-00 01:19:52.050, -0.114, 0.760, 0.346, 5.310, -10.254, -0.183, 73.652, 2.593, 140.257, 52.136, -61.544, 42.042, 31.84,,,,,,,,,,,,,,,,
 17:19:26.475,COM4, 2000-00-00 01:19:52.100, -0.097, 0.806, 0.185, 14.709, -16.296, 5.981, 73.971, 2.258, 139.691, 52.234, -61.642, 42.238, 31.86,,,,,,,,,,,,,,,,
 17:19:26.481,COM4, 2000-00-00 01:19:52.150, -0.034, 1.089, 0.153, 17.212, -19.897, 4.761, 74.839, 1.945, 139.005, 52.038, -61.642, 42.532, 31.86,,,,,,,,,,,,,,,,
 17:19:26.577,COM4, 2000-00-00 01:19:52.200, 0.145, 0.997, 0.133, -3.479, -27.283, 11.475, 75.103, 1.302, 137.988, 52.136, -61.544, 42.336, 31.84,,,,,,,,,,,,,,,,
 17:19:26.581,COM4, 2000-00-00 01:19:52.250, 0.182, 0.949, 0.229, -1.953, -18.616, 26.184, 74.844, 0.088, 136.961, 51.744, -61.936, 41.944, 31.89,,,,,,,,,,,,,,,,
 17:19:26.677,COM4, 2000-00-00 01:19:52.300, -0.150, 1.045, 0.353, -0.977, 0.183, 16.174, 74.883, -1.033, 136.923, 51.352, -62.230, 41.552, 31.86,,,,,,,,,,,,,,,,
 17:19:26.716,COM4, 2000-00-00 01:19:52.350, 0.072, 0.860, 0.407, -3.235, -5.859, 1.160, 74.762, -1.165, 136.840, 50.764, -62.426, 41.258, 31.86,,,,,,,,,,,,,,,,
 17:19:26.722,COM4, 2000-00-00 01:19:52.400, 0.109, 0.843, 0.292, -5.127, 2.319, 9.155, 74.399, -1.522, 136.906, 50.666, -62.426, 41.258, 31.87,,,,,,,,,,,,,,,,
 17:19:26.791,COM4, 2000-00-00 01:19:52.450, 0.148, 0.895, 0.183, 10.437, 23.438, -11.597, 74.548, -1.044, 137.675, 50.568, -62.524, 41.356, 31.89,,,,,,,,,,,,,,,,
 17:19:26.831,COM4, 2000-00-00 01:19:52.500, -0.066, 1.057, 0.194, 17.273, 31.433, -3.357, 75.245, -0.423, 138.906, 50.568, -62.426, 42.042, 31.86,,,,,,,,,,,,,,,,
 17:19:26.883,COM4, 2000-00-00 01:19:52.550, -0.186, 0.821, 0.084, -0.305, 16.846, -1.587, 75.778, -0.319, 140.015, 50.372, -62.328, 42.630, 31.87,,,,,,,,,,,,,,,,
 17:19:26.931,COM4, 2000-00-00 01:19:52.600, -0.080, 0.922, 0.153, -4.517, 8.423, -25.879, 75.712, 0.582, 140.229, 50.568, -62.230, 43.120, 31.87,,,,,,,,,,,,,,,,
 17:19:26.993,COM4, 2000-00-00 01:19:52.650, -0.076, 1.088, 0.362, 1.221, 7.813, -19.958, 75.927, 1.923, 140.350, 51.254, -61.838, 43.414, 31.86,,,,,,,,,,,,,,,,
 17:19:27.017,COM4, 2000-00-00 01:19:52.700, -0.045, 0.987, 0.453, -9.949, 0.427, -10.986, 75.608, 2.714, 140.301, 51.744, -61.446, 43.414, 31.89,,,,,,,,,,,,,,,,
 17:19:27.081,COM4, 2000-00-00 01:19:52.750, -0.147, 0.672, 0.272, -8.179, -0.305, 8.057, 75.031, 2.697, 140.411, 52.038, -61.348, 43.316, 31.86,,,,,,,,,,,,,,,,
 17:19:27.127,COM4, 2000-00-00 01:19:52.800, -0.127, 0.880, 0.181, 2.075, -11.047, 9.827, 74.822, 2.142, 140.208, 52.038, -61.544, 43.120, 31.87,,,,,,,,,,,,,,,,
 17:19:27.191,COM4, 2000-00-00 01:19:52.850, 0.125, 1.077, 0.217, -1.221, -25.940, 3.540, 74.987, 1.566, 139.334, 51.842, -61.642, 42.924, 31.86,,,,,,,,,,,,,,,,
 17:19:27.235,COM4, 2000-00-00 01:19:52.900, 0.015, 1.032, 0.196, -28.931, -17.517, 4.822, 74.108, 1.219, 138.340, 51.842, -61.740, 42.434, 31.89,,,,,,,,,,,,,,,,
 17:19:27.311,COM4, 2000-00-00 01:19:52.950, -0.059, 0.892, 0.182, 2.319, 1.099, 23.987, 73.405, 0.225, 138.422, 51.450, -62.132, 41.944, 31.87,,,,,,,,,,,,,,,,
 17:19:27.315,COM4, 2000-00-00 01:19:53.000, 0.003, 0.982, 0.321, 11.047, -7.202, 10.620, 73.938, -0.610, 138.428, 50.960, -62.524, 41.552, 31.86,,,,,,,,,,,,,,,,
 17:19:27.393,COM4, 2000-00-00 01:19:53.050, 0.104, 0.911, 0.410, -16.418, -3.540, 0.000, 73.685, -0.736, 138.170, 50.764, -62.524, 41.356, 31.90,,,,,,,,,,,,,,,,
 17:19:27.444,COM4, 2000-00-00 01:19:53.100, 0.142, 0.858, 0.300, -14.771, 7.568, -1.465, 72.795, -0.637, 138.345, 50.666, -62.622, 40.964, 31.84,,,,,,,,,,,,,,,,
 17:19:27.492,COM4, 2000-00-00 01:19:53.150, -0.115, 0.939, 0.232, 5.371, 21.484, -5.737, 72.603, -0.258, 138.900, 50.568, -62.622, 40.866, 31.87,,,,,,,,,,,,,,,,
 17:19:27.533,COM4, 2000-00-00 01:19:53.200, -0.136, 0.993, 0.256, 2.380, 14.221, 6.470, 72.861, -0.055, 139.779, 50.568, -62.426, 41.062, 31.84,,,,,,,,,,,,,,,,
 17:19:27.617,COM4, 2000-00-00 01:19:53.250, 0.012, 0.831, 0.192, -10.376, -18.066, -10.193, 72.636, -0.396, 139.499, 50.372, -62.622, 40.866, 31.84,,,,,,,,,,,,,,,,
 17:19:27.650,COM4, 2000-00-00 01:19:53.300, 0.047, 0.904, 0.306, 8.362, -15.625, -26.001, 72.631, 0.467, 138.384, 50.764, -62.426, 40.670, 31.87,,,,,,,,,,,,,,,,
 17:19:27.700,COM4, 2000-00-00 01:19:53.350, 0.207, 1.014, 0.416, 4.883, -6.165, -2.625, 73.350, 0.868, 137.763, 51.352, -62.132, 40.768, 31.89,,,,,,,,,,,,,,,,
 17:19:27.756,COM4, 2000-00-00 01:19:53.400, -0.122, 0.915, 0.461, -7.507, 5.981, -3.540, 73.169, 0.917, 137.686, 51.646, -62.034, 40.964, 31.87,,,,,,,,,,,,,,,,
 17:19:27.818,COM4, 2000-00-00 01:19:53.450, -0.319, 0.745, 0.213, 12.207, 3.906, -1.892, 72.993, 1.274, 138.170, 51.842, -61.936, 40.964, 31.84,,,,,,,,,,,,,,,,
 17:19:27.822,COM4, 2000-00-00 01:19:53.500, 0.023, 1.020, 0.168, 30.396, -17.517, -0.122, 74.026, 1.165, 137.878, 51.842, -61.838, 41.356, 31.84,,,,,,,,,,,,,,,,
 17:19:27.908,COM4, 2000-00-00 01:19:53.550, 0.094, 0.892, 0.115, 18.127, -26.733, 4.578, 75.366, 0.780, 136.785, 52.038, -61.838, 41.650, 31.84,,,,,,,,,,,,,,,,
 17:19:27.940,COM4, 2000-00-00 01:19:53.600, 0.218, 0.935, 0.114, -3.601, -24.475, 9.644, 75.762, 0.275, 135.670, 51.940, -61.740, 41.552, 31.87,,,,,,,,,,,,,,,,
 17:19:28.026,COM4, 2000-00-00 01:19:53.650, -0.040, 1.200, 0.298, -5.676, 1.648, 19.592, 75.619, -0.923, 135.313, 51.646, -62.132, 41.356, 31.84,,,,,,,,,,,,,,,,
 17:19:28.032,COM4, 2000-00-00 01:19:53.700, 0.004, 0.858, 0.366, -12.390, -3.113, -0.183, 75.212, -1.467, 135.417, 51.352, -62.230, 41.258, 31.86,,,,,,,,,,,,,,,,
 17:19:28.106,COM4, 2000-00-00 01:19:53.750, 0.085, 0.845, 0.359, -17.334, 0.610, 9.277, 74.295, -1.675, 135.330, 51.156, -62.524, 40.572, 31.87,,,,,,,,,,,,,,,,
 17:19:28.116,COM4, 2000-00-00 01:19:53.800, 0.042, 0.737, 0.245, -1.526, 20.569, -11.353, 73.696, -1.500, 135.939, 50.862, -62.622, 40.474, 31.84,,,,,,,,,,,,,,,,
 17:19:28.226,COM4, 2000-00-00 01:19:53.850, -0.108, 0.970, 0.220, 11.475, 32.104, -9.521, 74.004, -0.467, 137.214, 51.156, -62.426, 40.866, 31.87,,,,,,,,,,,,,,,,
